,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
35,,,,/us/grand-court-2.0-shoes/GW7172.html,,"These shoes give the classic adidas Grand Court a modern overhaul, and they work with everything from your darkest denim to your brightest shorts. Cloudfoam wraps your feet in cushioning, and a sturdy rubber outsole provides support.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; Cloudfoam sockliner; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Green / Royal Blue; Product code: GW7172, Cloud White / Cloud White / Shock Blue,23,4.8,
36,,,,/us/astir-shoes/HP9763.html,,"They may have missed the '00s the first time around, but they can relive the decade in these kids' adidas Astir shoes. A tribute to the era of rhinestones and bucket hats, these shoes earn style points with bold proportions and oversize eyelets. Based on Y2K runners, they feel ultra comfortable with a soft one-piece EVA midsole and Adifit insole.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textile upper with synthetic overlays; OrthoLite® sockliner; Adifit length-measuring insole; One-piece EVA outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core White / Core White / Beam Orange; Product code: HP9763,,1,5.0,
37,,,,/us/adidas-x-disney-originals-flex-shoes/GX9248.html,,"Your little one is in good hands with Disney's Mickey Mouse and friends. Inspired by the great outdoors, this fun twist on the adidas Flex shoes for toddlers lets your future explorer take Mickey and Pluto along on any adventure. The flexible, lightweight midsole and outsole ensure that your tot's toes will be cradled in comfort.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces; Mesh upper with synthetic suede overlays; OrthoLite® sockliner; Adifit length-measuring insole; EVA outsole with deep flex grooves; ©Disney; Upper contains a minimum of 50% recycled content; Imported; Product color: Linen Green / Core Black / Cloud White; Product code: GX9248,,3,4.3,
38,,,,/us/dropset-trainer-shoes/GW3905.html,,"Tackle your strength training and gym workouts without hesitation. These adidas shoes help you level up your game. A low midsole drop gives you a feeling of ground contact to encourage proper form and increase your confidence in your movements. Two different types of EVA cushioning give you stability on your heels and comfort on the front of your foot.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","Regular fit; Lace closure; Textile upper with padded collar; Durable, stable feel; Textile lining; Dual-density midsole with softer forefoot and stiffer heel; Rubber outsole; Imported; Product color: Core Black / Cloud White / Grey Six; Product code: GW3905", Shadow Green / Magic Grey / Cloud White,241,4.6,
39,,,,/us/forum-low-shoes/GX7071.html,,"More than just a shoe, it's a statement. The adidas Forum hit the scene in '84 and gained major love on both the hardwood and in the music biz. This pair of the classic shoes brings back the '80s attitude, the explosive hardwood energy and the iconic removable strap ankle design, distilled into a low top version meant for the streets.",Lace closure with removeable strap; Leather upper; Rubber outsole; Imported; Product color: Cloud White / Pulse Blue / Cloud White; Product code: GX7071, Cloud White / Cloud White / Cloud White,706,4.8,
40,,,,/us/terrex-snowpitch-cold.rdy-hiking-boots/GW4065.html,,"Getting out the door rewards in all seasons. Whether you're out on a winter night or taking a crisp mountain walk, these adidas Terrex Snowpitch hiking boots keep feet your warm and moving in cold conditions. Edgy style gives them a modern, everyday feel.","Regular fit; Lace closure; Leather upper; Winter hiking shoe; Insulating, water-repellent COLD.RDY; Traxion outsole; Imported; Product color: Focus Olive / Core Black / Pulse Olive; Product code: GW4065", Core Black / Core Black / Scarlet,233,4.5,
41,,,,/us/stabil-next-gen-handball-shoes/GW0814.html,,"Next time you hit the changing rooms, make sure your rivals know they've been in a game. These adidas Stabil Next Gen shoes are designed to help you dominate indoor courts. Lightweight and sleek, their adidas PRIMEKNIT upper has heat-pressed sidewalls to add support for every direction shift. The grippy outsole has rounded edges for more natural movement. The BOOST midsole is framed in EVA to provide the perfect balance of cushioning and stability.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; adidas PRIMEKNIT upper; Integrated lateral support and lockdown; BOOST midsole; HEAT.RDY; 360-degree grip pattern with radiused edges; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Grey Two / Team Navy / Team Collegiate Red; Product code: GW0814, Grey Two / Team Navy / Team Collegiate Red,9,4.6,
42,,,,/us/nmd_r1-refined-shoes/H02334.html,,"The city is ever-changing. Dare to keep up in these juniors' adidas NMD_R1 Refined Shoes. Merging everyday style with top-tier adidas technology, these running-inspired sneakers keep you comfortably on the move thanks to energy-returning Boost cushioning. The flexible mesh upper hugs the foot so you can easily turn and switch directions anytime a new part of the city calls to you.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester.",Regular fit; Lace closure; Mesh upper; Boost midsole; Rubber outsole; Primeblue; Imported; Product color: Cloud White / Cloud White / Grey One; Product code: H02334, Core Black / Core Black / Cloud White,184,4.8,
43,,,,/us/nmd_r1-v2-shoes/HP2939.html,,"The future is now. The original running-inspired style that made you love the adidas NMD_R1 shoes gets updates to make you look and feel like you walked right out of a time machine. Modern overlays give these juniors' kicks a cyberpunk vibe. Long commutes and slick city sidewalks are no problem, thanks to BOOST cushioning and the grippy rubber outsole beneath your feet.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Core Black; Product code: HP2939, Core Black / Cloud White / Core Black,21,4.2,
44,,,,/us/agent-gil-restomod-basketball-shoes/GY2415.html,,"Flashy and exuberant — two words that reflect Gilbert Arenas' style on and off the hardwood. These signature adidas basketball shoes live up to that intent with tiger-print details and his signoffs on the heel and tongue. A BOOST drop-in responds to every move, and outsole pods give you the lateral traction you need to change directions like Agent Gil.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Leather upper; Textile lining; BOOST midsole; Ground Control System outsole pods; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Pantone / Core Black / Vivid Green; Product code: GY2415, Pantone / Core Black / Vivid Green,16,4.8,
45,,,,/us/stan-smith-bonega-shoes/GY9343.html,,"The look you know and love, just on a bold platform outsole. It's only one change, and yet it makes all the difference to these adidas Stan Smith shoes. The elevated outsole stands out even more with double-layered foxing tape to create extra emphasis on the proportions. The smooth, luxe upper adds a premium element to the look, making them the perfect balance of high and low, and the perfect shoe to go with everything.",Regular fit; Lace closure; Synthetic upper; Textile lining; Memory foam sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Linen Green / Linen Green / Almost Lime; Product code: GY9343, Cloud White / Cloud White / Green,66,4.3,
46,,,,/us/lunar-new-year-d.o.n-issue-3-gca-basketball-shoes/GY0328.html,,,Imported; Product color: Scarlet / Pulse Amber / Core Black; Product code: GY0328,,40,4.6,
47,,,,/us/retropy-f2-shoes/GW3313.html,,"Can't decide between retro and right-now? With the adidas Retropy, you get both. These juniors' shoes have a modern, pared-down look with pops of nostalgic style. Track-inspired styling gives them that casual, easy-to-wear vibe. A soft cushioned outsole will take you as far as you want to go.

Made in part with recycled content generated from production waste, e.g., cutting scraps and post-consumer household waste, to avoid the larger environmental impact of producing virgin content.",Lace closure; Textile upper with suede and mesh overlays; OrthoLite® sockliner; EVA midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: GW3313, Core Black / Core Black / Cloud White,2,5.0,
