,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
1023,,Nike Vapor Edge Speed 360,Men's Football Cleats,5 Colors,$95,,https://www.nike.com/t/vapor-edge-speed-360-mens-football-cleats-vs6Vgj/DQ5110-061,"Engineered for speed, the Nike Vapor Edge Speed 360 offers a new degree of agility. Its internal plate gives you flexible support, while wide stud placements let you cut like never before.",Black/Dark Smoke Grey/White; Black/White/Dark Smoke Grey/Game Royal; Black/White/Dark Smoke Grey/University Red; Black/White/Dark Smoke Grey/Volt; White/Photon Dust/Black,21.0,4.7
1024,Sustainable Materials,Nike Air Force 1 Crater Flyknit Next Nature,Men's Shoes,3 Colors,$130,$77.97,https://www.nike.com/t/air-force-1-crater-flyknit-next-nature-mens-shoes-bHdNmN/DM0590-002,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a featherweight spin on what you know best: era-echoing looks, bold details and the perfect finish for every outfit. The Flyknit upper is intricately textured, feels airy and delivers a fresh take on AF1 style.",Black/White/Pure Platinum/Black; Black/Scream Green/Lime Ice/Black; White/Summit White/Platinum Tint/White,16.0,4.6
1025,,Nike React Miler 2,Women's Road Running Shoes,1 Color,$130,,https://www.nike.com/t/react-miler-2-womens-road-running-shoes-js2rqJ/CW7136-500,"When running becomes a daily habit, stability and comfort are crucial. The Nike React Miler 2 delivers—bringing back the soft cushioning and intuitive design of its predecessor. Its redesigned upper helps cut down on the bulk, offering support and a secure feel on long and short road runs.",Shown: Plum Chalk/Pink Foam/White,41.0,4.6
1026,,Nike Air Force 1 '07 Premium,Men's Shoes,1 Color,$140,,https://www.nike.com/t/air-force-1-07-premium-mens-shoes-zqBZTs/DX2305-100,"The radiance lives on in the Nike Air Force 1 ’07 Premium. Crossing hardwood comfort with off-court flair, this hoops original puts a fresh spin on what you know best: crisp leather, clean colors and the perfect amount of flash to make you shine. Consider them a slam dunk.",Shown: White/Metallic Gold/Coconut Milk/Black,1.0,3.0
1027,,NikeCourt Air Zoom Vapor Pro,Women's Hard Court Tennis Shoes,8 Colors,$120,$92.97,https://www.nike.com/t/nikecourt-air-zoom-vapor-pro-womens-hard-court-tennis-shoes-RRbTJl/CZ0222-261,"The NikeCourt Air Zoom Vapor Pro takes everything you love about the NikeCourt Air Zoom Vapor X and makes it lighter and more supportive. The 3-layer design puts breathability, stability and durability where they're needed most, all while keeping weight at a minimum.",White/Metallic Silver; Doll/White/Volt/Amethyst Wave; Sail/White/Sanddrift/Peach Cream; Black/White/Metallic Red Bronze; Pearl White/White/Bleached Coral/Canyon Rust; Obsidian/Mint Foam/White; Football Grey/Doll/Medium Blue/Black; Glacier Blue/White/Pink Foam/Midnight Navy,33.0,4.2
1028,,Nike Structure 24,Women's Road Running Shoes,3 Colors,$130,,https://www.nike.com/t/structure-24-womens-road-running-shoes-MRJzXW/DA8570-004,"The Nike Structure 24 has you ready to hit the road. We tested hundreds of runners to design the crash pad under your heel that creates a cushioned, smooth transition from heel to toe. Those insights also created an airy upper with breathability right where you need it.",Black/Lapis/Light Thistle/Neptune Green; White/Barely Grape/Cerulean/Psychic Purple; Black/White,47.0,4.3
1029,,Nike Air Max 97 SE,Men's Shoes,1 Color,$180,$143.97,https://www.nike.com/t/air-max-97-se-mens-shoes-6DPq65/CZ5607-100,"The Nike Air Max 97 SE features the same ripple design of the OG that was inspired by Japanese bullet trains. It takes the global influence a step further by proudly displaying the Nike Worldwide crest, which celebrates the unifying power of sports. Taking the revolutionary full-length Nike Air unit that shook up the running world and adding new flashy graphics inspired by sporting moments from around the globe, it lets you push your style full-speed ahead.",,8.0,5.0
1030,Customize,Nike Air Force 1 High By You,Women's Custom Shoes,6 Colors,$145,,https://www.nike.com/u/custom-nike-air-force-1-high-by-you-shoes-10001369/9317480012,"Let your design shine in satin, keep it classic in canvas, and get luxe with leather. No matter what you choose, these AF1s are all about you. 12 classic color choices and an additional gum option for the sole mean your shoe is destined to be one of a kind, just like you.",,,
1031,,Nike Air Force 1 LV8,Big Kids' Shoes,2 Colors,$90,$72.97,https://www.nike.com/t/air-force-1-lv8-big-kids-shoes-BktXWT/DQ0359-700,"The Nike AF1s are legendary. From their durable leather to hidden Air unit, they’ve been a sneaker icon for decades. That’s a long time! This special edition is inspired by our own history—did you know Nike launched in '72? With ‘70s-style graphics on the tongue, heel and laces, these kicks are a groovy blast from the past.",Tour Yellow/Black/Tour Yellow/Sail; Sail/Medium Blue/Black/Blue Chill,4.0,4.5
1032,,Nike Zoom Rival,Track & Field Distance Spikes,3 Colors,$70,,https://www.nike.com/t/zoom-rival-track-field-distance-spikes-37tSzt/DC8725-601,"With a lightweight, breathable upper and cushioned midsole, this adaptable spike dials you in for a wide range of middle- and long-distance races. It takes learnings from the game-changing Dragonfly spike to give you efficient energy return for the tough middle laps and top-end speed as you kick into the homestretch.",Bright Crimson/Volt/White/Black; White/Metallic Silver/Pure Platinum/Black; Black/Dark Smoke Grey/Light Smoke Grey/Metallic Silver,0.0,0.0
